company_name,primary_role,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,cb_url,logo_url,profile_image_url,twitter_url,uuid,created_at,updated_at
OurCrowd,investor,ourcrowd.com,http://www.ourcrowd.com,ISR,,Tel Aviv,Jerusalem,9108001,"28 Derech Hebron, P.O. Box 8004",operating,"OurCrowd breaks barriers to startup investing, providing global, VC-level dealflow, due diligence and terms to accredited investors.",angel investment|crowdfunding|impact investing|venture capital,financial services|lending and investments,3,107000000,2013-02-01,2014-04-28,2016-09-21,,-,,,http://www.facebook.com/ourcrowdfund,https://www.crunchbase.com/organization/ourcrowd,https://www.crunchbase.com/organization/ourcrowd/primary-image/raw,http://public.crunchbase.com/t_api_images/v1460391568/aappuyqxk95q3a8qg862.jpg,https://www.twitter.com/ourcrowd,8522a0e8-ae31-22f7-bc76-42d0d76eecfe,2012-12-20 08:36:49,2016-09-21 08:49:20.43926
Pepperfry.com,company,pepperfry.com,http://www.pepperfry.com,IND,,Mumbai,Mumbai,,"",operating,Pepperfry.com is an online home and lifestyle shopping store in India selling products with cash on delivery facilities.,e-commerce|furniture|shopping,commerce and shopping|consumer goods,5,159000000,2011-01-01,2011-12-12,2016-09-21,,501-1000,tellus@pepperfry.com,,http://www.facebook.com/pepperfry,https://www.crunchbase.com/organization/pepperfry-com,https://www.crunchbase.com/organization/pepperfry-com/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397183405/26f15701f588d7632676621cb44832ed.jpg,https://www.twitter.com/pepperfry,b02de6de-fc8e-7238-1112-12703e41f8fa,2011-12-13 12:14:06,2016-09-21 04:05:10.464102
PurpleDocs,company,purpledocs.com,https://www.purpledocs.com/,IND,,,,390 010,"A-180, Anandbaug, Susen Tarsali Ring Road, Vadodara ",operating,PurpleDocs is a Healthcare records management company with a cloud based software solution,,,1,,2010-01-01,2016-09-21,2016-09-21,,11-50,sales@purpledocs.com,+919909903539,https://www.facebook.com/purpledocs,https://www.crunchbase.com/organization/purpledocs,https://www.crunchbase.com/organization/purpledocs/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474448387/rcwbjsbovh9mcmz8hwaq.png,https://www.twitter.com/purpledocs_com,7bae2a57-8281-2492-6dec-b383f26b396a,2016-09-21 09:00:30.937082,2016-09-23 04:02:09.038308
SecurityMatters,company,secmatters.com,http://www.secmatters.com/,NLD,,Eindhoven,Eindhoven,,"",operating,"SecurityMatters is a security company that develops and sells network monitoring, intelligence, and protection technology.",security,privacy and security,1,5000000,2009-12-09,2016-09-21,2016-09-21,,-,info@secmatters.com,,,https://www.crunchbase.com/organization/securitymatters,https://www.crunchbase.com/organization/securitymatters/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397198858/e31579769fa9e436717184e80a9b9f91.png,https://www.twitter.com/sec_matters,76ea1020-2236-0441-e4af-77e28675c0ae,2010-11-22 07:18:13,2016-09-21 09:09:07.428612
SidelineSwap,company,sidelineswap.com,https://sidelineswap.com,USA,NY,New York City,New York,,"",operating,Where athletes buy and sell their gear.,marketplace|retail|sporting goods,commerce and shopping|sports,3,1705000,2012-01-01,2014-10-01,2016-09-21,,1-10,founders@sidelineswap.com,,http://www.facebook.com/sidelineswap,https://www.crunchbase.com/organization/sidelineswap,https://www.crunchbase.com/organization/sidelineswap/primary-image/raw,http://public.crunchbase.com/t_api_images/v1422033250/tjhaacgkw2fh3tmwtsmz.png,https://www.twitter.com/sidelineswap,d5f22039-af44-d535-a14a-8c6f9933f40e,2012-10-10 10:21:16,2016-09-20 18:55:36.408606
Sorry As A Service,company,sorryasaservice.com,https://sorryasaservice.com/,EST,,Tallinn,Tallinn,,"",operating,Sorry As A Service platform helps companies when a customer complaints or has an issue and suggests actions to rebuild the relationship.,b2b|crm|enterprise software|information technology,information technology|sales and marketing|software,2,274255.086428595,2014-01-01,2015-07-06,2016-09-21,,1-10,sabine@sorryasaservice.com,,https://www.facebook.com/sorryasaservice,https://www.crunchbase.com/organization/sorry-as-a-service,https://www.crunchbase.com/organization/sorry-as-a-service/primary-image/raw,http://public.crunchbase.com/t_api_images/v1428063104/mke3a61t8rmczxk6u43c.png,https://www.twitter.com/sorryasaservice,80d08a53-9444-2d04-6af8-1c7915ae9fac,2015-04-03 12:12:17,2016-09-09 20:46:21.166751
Transit,company,transitapp.com,http://transitapp.com,CAN,QC,Montreal,Montréal,,"",operating,Transit simplifies the commute in 125+ metro areas around the world.,ios|mobile|navigation|public transportation|transportation|travel,mobile|navigation and mapping|platforms|software|transportation|travel and tourism,3,2877269,2013-04-15,2013-04-15,2016-09-21,,11-50,info@thetransitapp.com,,https://www.facebook.com/transitapp/,https://www.crunchbase.com/organization/the-transit-app,https://www.crunchbase.com/organization/the-transit-app/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474569459/nkjqpajjiptcuige3vsy.png,https://www.twitter.com/transitapp,4d374ee8-042f-d2ef-639c-5a9c76b5bf2b,2013-05-31 01:17:32,2016-09-22 19:13:23.09969
XOR Labs Toronto,company,xorlabstoronto.com,http://xorlabstoronto.com/,CAN,ON,Toronto,Toronto,,"",operating,Advances in medical science have introduced the era of personalized medicine for organs.,,,1,2159232.67689293,2011-01-01,2016-09-21,2016-09-21,,-,,,,https://www.crunchbase.com/organization/xor-labs-toronto,https://www.crunchbase.com/organization/xor-labs-toronto/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474515836/adqyzcl8zuiqvawobk4m.png,,27757132-ed7b-2787-3f9e-0054472615f0,2016-09-22 03:44:30.51873,2016-09-22 10:47:48.872722
Airbnb,company,airbnb.com,http://airbnb.com,USA,CA,SF Bay Area,San Francisco,94103,888 Brannan Street,operating,"Airbnb is an online community marketplace for people to list, discover, and book accommodations around the world.",hospitality|marketplace|sharing economy|travel|travel accommodations,commerce and shopping|travel and tourism,10,3950282100,2008-08-01,2009-01-01,2016-09-22,,1001-5000,press@airbnb.com,,http://www.facebook.com/airbnb,https://www.crunchbase.com/organization/airbnb,https://www.crunchbase.com/organization/airbnb/primary-image/raw,http://public.crunchbase.com/t_api_images/v1405534850/vubc5kxhmw6jalain0ot.jpg,https://www.twitter.com/airbnb,bcb617c3-9e43-d5b0-1d14-82b795f2642f,2008-07-31 11:41:35,2016-09-24 05:20:45.459747
Alphachannel,company,alphachannel.io,https://alphachannel.io/,USA,NY,New York City,New York,10003,30 E. 9th St,operating,Alphachannel is an online marketplace that enables marketers to find and engage top-tier creative studios and production companies.,information technology|marketing|social network,information technology|internet services|sales and marketing,2,200000,2015-11-01,2016-02-01,2016-09-22,,1-10,aaron@alphachannel.io,,https://www.facebook.com/alphachannl,https://www.crunchbase.com/organization/alphachannel,https://www.crunchbase.com/organization/alphachannel/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474466083/pmnwembjgkzcj8kbkttg.jpg,https://www.twitter.com/alphachannl,376c1ec7-e836-b9be-d783-25793986ebd5,2016-04-18 15:29:36.500752,2016-09-21 13:59:34.041176
Anodot,company,anodot.com,http://www.anodot.com/,ISR,,Tel Aviv,Ra'anana,,13 Hasadna St.,operating,"Detection Platform for Business Incidents, Anomalies & Analytics",analytics|big data|business intelligence|machine learning,data and analytics|software,3,12500000,2014-05-01,2014-05-12,2016-09-22,,11-50,info@anodot.com,+97297718707,https://www.facebook.com/anodot?fref=ts,https://www.crunchbase.com/organization/anodot,https://www.crunchbase.com/organization/anodot/primary-image/raw,http://public.crunchbase.com/t_api_images/v1435641148/flgxxf9blbi9grdl97ik.png,https://www.twitter.com/teamanodot,a71cc67d-257d-e50c-7f30-a94271ade890,2015-06-30 05:12:34,2016-09-23 03:50:29.526397
Avalara,company,avalara.com,http://www.avalara.com,USA,WA,Seattle,Bainbridge Island,98110,"100 Ravine Lane NE, Suite 220",operating,Avalara is a cloud-based software provider that delivers a broad array of compliance solutions related to sales tax.,e-commerce|enterprise software|software,commerce and shopping|software,8,319625355,2004-01-01,2010-05-27,2016-09-22,,501-1000,,+112068264900,http://www.facebook.com/avalara,https://www.crunchbase.com/organization/avalara,https://www.crunchbase.com/organization/avalara/primary-image/raw,http://public.crunchbase.com/t_api_images/v1398354159/cplo3zs5gcwqgngvhzeg.png,https://www.twitter.com/avalara,9817e1f0-f0be-25f2-37a3-a1a25cdaec2f,2014-06-10 08:08:31,2016-09-24 16:49:11.423984
Bosszhipin,company,bosszhipin.com,https://www.bosszhipin.com/,CHN,,Beijing,Beijing,,"",operating,Bosszhipin is a recruitment mobile app,,,1,28000000,2014-01-01,2016-09-22,2016-09-22,,-,,,,https://www.crunchbase.com/organization/bosszhipin,https://www.crunchbase.com/organization/bosszhipin/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474534689/t16euy586ruos6qflfhs.png,,b1fe5385-bc30-c88d-8495-d87d41e6ed61,2016-09-22 08:58:40.553227,2016-09-23 11:31:59.789589
Bricklane.com,company,bricklane.com,https://bricklane.com/,GBR,,London,London,,"",operating,Bricklane.com is an online property ISA,,,1,1692598.13814205,2014-01-01,2016-09-22,2016-09-22,,1-10,support@bricklane.com,+02031111432,https://www.facebook.com/bricklane-285857054759203/,https://www.crunchbase.com/organization/bricklane-com,https://www.crunchbase.com/organization/bricklane-com/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474547681/eyvwqr9mn9l9rsdn7btl.png,https://www.twitter.com/bricklanedotcom,ca82b18c-3edf-7220-0790-dab150215290,2016-09-22 12:34:49.537169,2016-09-23 09:07:27.572181
BrightLine,company,brightline.tv,http://www.brightline.tv,USA,NY,New York City,New York,10017,"565 Fifth Avenue, 18th Floor",operating,BrightLine provides interactive television solutions for the entertainment and advertising sectors.,advertising|marketing|tv,advertising|media and entertainment|sales and marketing|video,2,50000000,2003-01-01,2011-07-19,2016-09-22,,51-100,info@brightline.tv,2122710014,,https://www.crunchbase.com/organization/brightline-itv,https://www.crunchbase.com/organization/brightline-itv/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397181394/6674328cad34e1d36ddefef4c318c6b2.jpg,https://www.twitter.com/brightline_tv,8613e18a-e5ed-7139-866d-8bf8cb6c7dec,2009-06-16 11:07:40,2016-09-24 03:52:02.090021
Cool Planet Energy Systems,company,coolplanet.com,http://www.coolplanet.com,MEX,,MEX - Other,Colorado,80111,"6400 S. Fiddlers Green Circle, Greenwood Village",operating,"Cool Planet is a technology company that is developing sustainable products to address three of the world’s largest markets: energy, food an",energy|fuel|renewable energy,energy|sustainability,9,214069846,2009-01-01,2009-11-25,2016-09-22,,101-250,info@coolplanet.com,+113032212029,http://www.facebook.com/coolplanetenergysystems,https://www.crunchbase.com/organization/cool-planet-energy-systems,https://www.crunchbase.com/organization/cool-planet-energy-systems/primary-image/raw,http://public.crunchbase.com/t_api_images/v1403907549/wryafk7hwhp7asn612z3.jpg,https://www.twitter.com/coolplanetfuels,8976dbdb-954b-0ce4-44d7-e4c64df1e0e0,2012-05-31 11:24:27,2016-09-23 14:31:42.894875
Cyclica,company,cyclicarx.com,http://www.cyclicarx.com,CAN,ON,Toronto,Toronto,,"",operating,Cyclica is a technology company that provides technology for analysing drug discovery/development data.,big data|biotechnology,biotechnology|data and analytics|science and engineering,4,2748920.38218413,2010-04-30,2014-05-28,2016-09-22,,11-50,inquiries@cyclicarx.com,+1 (416) 304-9202,,https://www.crunchbase.com/organization/cyclica,https://www.crunchbase.com/organization/cyclica/primary-image/raw,http://public.crunchbase.com/t_api_images/v1469566458/jo4cuyvppbjbd4dwalxq.png,https://www.twitter.com/cyclica,c350b77e-58ae-794d-7dc2-78405705740a,2013-07-29 22:36:11,2016-09-23 04:30:57.417347
DreamsCloud,company,dreamscloud.com,http://dreamscloud.com,USA,FL,Miami,Miami,33129,2600 SW 3rd Ave. Suite 730,operating,DreamsCloud is the place to share your night-dreams.,android|apps|content|curated web|internet|mobile|publishing|social media,apps|content and publishing|internet services|media and entertainment|mobile|platforms|software,2,4000000,2009-01-01,2014-08-26,2016-09-22,,11-50,info@dreamscloud.com,703-659-0145,https://www.facebook.com/dreamscloudofficial/,https://www.crunchbase.com/organization/dreamscloud,https://www.crunchbase.com/organization/dreamscloud/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474648115/dfsyzohz7wg5dadxbuds.jpg,https://www.twitter.com/dreamscloud_us,09ce1702-18e7-8694-57d6-04bb64f6c313,2014-08-26 12:26:38,2016-09-23 17:01:52.84568
Gadgetwood,company,gadgetwood.com,http://www.gadgetwood.com/,IND,,New Delhi,New Delhi,110018,"4A/13-IIIrd floor,Tilak Nagar, above TVS Showroom, Opp.Metro Pillar No:- 501",operating,Gadgetwood” started with an idea of offering users with dependable technical support and quality repair services in consumer electronics.,software,software,2,6000000,2013-01-01,2015-04-14,2016-09-22,,11-50,support@gadgetwood.com,+01160012600,https://www.facebook.com/pages/gadgetwood/589247571087706,https://www.crunchbase.com/organization/gadgetwood,https://www.crunchbase.com/organization/gadgetwood/primary-image/raw,http://public.crunchbase.com/t_api_images/v1429016617/oi6dkfxv0vmrpppwlxts.png,,11a3bc4a-886d-66e1-a8d1-c5263f384780,2015-04-14 13:03:45,2016-09-22 08:53:04.21983
Gfycat,company,gfycat.com,http://www.gfycat.com,USA,CA,SF Bay Area,Mountain View,94041,457 Castro St.,operating,"Gfycat, a GIF hosting, allows users to create, discover, and share GIFs.",internet|video|video streaming,content and publishing|internet services|media and entertainment|video,1,10000000,2015-01-01,2016-09-22,2016-09-22,,11-50,partners@gfycat.com,,https://www.facebook.com/thegfycat,https://www.crunchbase.com/organization/gfycat-2,https://www.crunchbase.com/organization/gfycat-2/primary-image/raw,http://public.crunchbase.com/t_api_images/v1450048325/gfk4udpqdfdqgjo6ange.png,https://www.twitter.com/gfycat,56edbe3c-0260-3637-c26f-81d9d8677176,2015-12-13 23:12:59.378223,2016-09-22 23:44:34.50499
Impartner,company,impartner.com,http://impartner.com,USA,UT,Salt Lake City,South Jordan,84095,"10713 South Jordan Gateway, Suite 120",operating,"Impartner is an established, independent, and thriving SaaS-based Software Company with innovative solutions tailored",computer|saas|software,consumer electronics|hardware|software,2,25000000,1997-01-01,2015-03-11,2016-09-22,,51-100,,1(801) 576-8428,https://www.facebook.com/impartnersoftware,https://www.crunchbase.com/organization/impartner,https://www.crunchbase.com/organization/impartner/primary-image/raw,http://public.crunchbase.com/t_api_images/v1439596914/cguneswzphxgtl97xmfd.png,https://www.twitter.com/impartnerprm,d60cff48-94c6-f571-d1d7-28aa34f1b45d,2015-08-04 20:47:18,2016-09-23 04:39:57.066966
Kahoot!,company,getkahoot.com,http://getkahoot.com,NOR,,Oslo,Oslo,,Tordenskjoldsgate 6,operating,Kahoot! is a global brand for the way people learn today.,edtech|education|internet|mobile|software,education|internet services|mobile|software,2,16500000,2011-12-14,2015-06-15,2016-09-22,,11-50,,,https://www.facebook.com/getkahoot/,https://www.crunchbase.com/organization/kahoot-,https://www.crunchbase.com/organization/kahoot-/primary-image/raw,http://public.crunchbase.com/t_api_images/v1425171045/g2prgd9q4df7vuzydaca.jpg,https://www.twitter.com/getkahoot,186e8e50-68db-5d1b-ace6-920bd117a14b,2015-03-01 00:52:54,2016-09-22 04:11:19.117808
Linio,company,linio.com.mx,http://www.linio.com.mx,MEX,,Mexico City,Mexico City,,"Rio Elba, 20",operating,Linio is an e-commerce company that offers a wide variety of products online in many categories.,consumer electronics|e-commerce|retail,commerce and shopping|consumer electronics|hardware,5,230500000,2012-01-01,2013-02-11,2016-09-22,,1001-5000,contacto.mx@linio.com,52 55 852 51200,http://www.facebook.com/liniomexico,https://www.crunchbase.com/organization/linio,https://www.crunchbase.com/organization/linio/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397200119/586de68455aa8e67ac14cccf90898759.jpg,https://www.twitter.com/liniomexico,0c710152-aad1-55ae-a95e-9ea055f76d98,2013-02-26 19:22:46,2016-09-23 04:01:21.714008
Mavrx,company,mavrx.co,http://www.mavrx.co,USA,CA,SF Bay Area,San Francisco,,"",operating,Mavrx uses imagery and data to bring actionable insights to the global agriculture industry.,agriculture|analytics|image recognition,agriculture and farming|data and analytics|software,4,22420781,2012-01-01,2015-08-31,2016-09-22,,1-10,press@mavrx.co,844-466-2879),http://www.facebook.com/mavrxinc,https://www.crunchbase.com/organization/mavrx,https://www.crunchbase.com/organization/mavrx/primary-image/raw,http://public.crunchbase.com/t_api_images/v1426096801/xpkwpmj8ljziljzrf0tn.png,https://www.twitter.com/mavrx_inc,910192b6-3ea5-ede2-31bc-b5d48b736e01,2014-01-30 18:44:05,2016-09-23 17:02:58.674336
Mesa Air Group,company,mesa-air.com,http://www.mesa-air.com/,USA,AZ,Phoenix,Phoenix,85008,"",operating,A multiple-time recipient of Air Transport World’s Regional Airline of the Year and Ranked No. 1 Regional,aerospace|in-flight entertainment|travel,media and entertainment|science and engineering|travel and tourism,2,65000000,1982-01-01,2014-08-13,2016-09-22,,1001-5000,corporate.communications@mesa-air.com,602-685-4000,http://www.facebook.com/mesaairlines,https://www.crunchbase.com/organization/mesa-air-group,https://www.crunchbase.com/organization/mesa-air-group/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474622667/vxfztd4gb4lb2uekj2tq.jpg,https://www.twitter.com/mesaairlines,23b76c36-872c-f677-5fee-c59924b56b3e,2014-08-14 05:30:31,2016-09-23 10:06:05.146683
OneFit,company,onefit.nl,http://www.onefit.nl/,NLD,,Amsterdam,Amsterdam,1062 XK,Overschiestraat 182,operating,"OneFit is a provider of platform and member card that gives access to 147 different gyms and studios in Amsterdam, Den Haag and Utrecht.",fitness|sports,sports,1,948793.079391656,2013-01-01,2016-09-22,2016-09-22,,1-10,info@onefit.nl,(020)210-3140,https://www.facebook.com/onefit1/,https://www.crunchbase.com/organization/onefit,https://www.crunchbase.com/organization/onefit/primary-image/raw,http://public.crunchbase.com/t_api_images/v1460715620/ubtvpfqmkotvn8idgsoj.jpg,https://www.twitter.com/onefit_nl,27bcc164-f9b5-4fc0-10b0-259371f1c1cc,2016-04-15 10:21:02.910975,2016-09-22 09:50:02.527979
Operator,company,operator.com,https://operator.com/,USA,CA,SF Bay Area,San Francisco,,"",operating,Operator is an online shop powered by a community of experts that offers a range of products from fashionable items and RTWs to home decors.,e-commerce platforms|fashion|search engine,commerce and shopping|design|internet services,2,25000000,2014-01-01,2015-04-23,2016-09-22,,11-50,support@operator.com,,https://www.facebook.com/operatorapp?_rdr,https://www.crunchbase.com/organization/operator-2,https://www.crunchbase.com/organization/operator-2/primary-image/raw,http://public.crunchbase.com/t_api_images/v1429768769/clpkly9p2z3kfdufw2hz.png,https://www.twitter.com/operator,d454fa7b-d7d0-b8bd-bbda-89c674dccca0,2015-04-23 05:59:39,2016-09-22 13:04:18.553378
Planet Intus,company,planetintus.com,http://www.planetintus.com/en/,CHE,,Geneva,Geneva,,"",operating,"Indoor outdoor geolocation, services and analytics for operation optimisation and marketing targeting",mapping services,navigation and mapping,1,1384284.10294972,2014-06-01,2016-09-22,2016-09-22,,11-50,contact@planetintus.com,41 793058219,,https://www.crunchbase.com/organization/planet-intus,https://www.crunchbase.com/organization/planet-intus/primary-image/raw,http://public.crunchbase.com/t_api_images/v1464173687/zgovtrud9wleqhqo8pz0.png,,aaed5128-de40-9825-8a2f-a410f7539d98,2016-05-25 10:47:03.494513,2016-09-06 13:37:23.583115
Tealium,company,tealium.com,http://www.tealium.com,USA,CA,San Diego,San Diego,92121,11085 Torreyana Road,operating,"Tealium is a provider of a tag management system, including analytics, advertising and affiliate enterprise websites.",analytics|enterprise software|internet|marketing,data and analytics|internet services|sales and marketing|software,6,112900000,2008-03-01,2012-01-10,2016-09-22,,501-1000,info@tealium.com,8582281900,http://www.facebook.com/tealium,https://www.crunchbase.com/organization/tealium,https://www.crunchbase.com/organization/tealium/primary-image/raw,http://public.crunchbase.com/t_api_images/v1414629812/k9qpgedybj8jv7mw7027.jpg,https://www.twitter.com/tealium,65a23d6c-5ffb-66c2-fd09-a9f3b2cb5841,2011-07-06 04:17:30,2016-09-22 04:14:23.200913
Timeular,company,timeular.com,http://www.timeular.com,AUT,,Graz,Graz,8020,Nikolaiplatz 4,operating,"Timeular builds ZEIº, an IoT time tracking device.",,,1,223245.430445096,2016-01-23,2016-09-22,2016-09-22,,1-10,hello@timeular.com,+4369910453860,https://www.facebook.com/timeular,https://www.crunchbase.com/organization/timeular,https://www.crunchbase.com/organization/timeular/primary-image/raw,http://public.crunchbase.com/t_api_images/v1467723770/lwfmkn88dajdbqfaxgpb.jpg,https://www.twitter.com/timeular,b6500f0c-c033-a938-65c0-0385c3bf8094,2016-07-05 13:04:26.354813,2016-09-22 10:03:03.312143
Whispir,company,whispir.com,http://www.whispir.com,AUS,,Melbourne,Melbourne,3000,"Level 30, 360 Collins Street",operating,"Whispir is a cloud platform that automates communication flows, allowing businesses to create powerful conversations",saas|software,software,2,11750000,2002-01-01,2012-12-11,2016-09-22,,11-50,info@whispir.com,1(300) 944-774,https://www.facebook.com/whispir,https://www.crunchbase.com/organization/whispir,https://www.crunchbase.com/organization/whispir/primary-image/raw,http://public.crunchbase.com/t_api_images/v1421829366/p2mledl6x1gomzyiueum.jpg,https://www.twitter.com/whispir,a0becd7e-beca-665c-aed3-e7ec0c46c690,2015-01-21 08:36:45,2016-09-20 04:51:25.011769
